datetime,symbol,open,high,low,close,volume
2023-08-29 23:00:00,CRYPTO:BTCUSD,27921.47,27936.23,27903.47,27909.9,0.0
2023-08-29 23:05:00,CRYPTO:BTCUSD,27909.89,27921.08,27890.27,27890.78,0.0
2023-08-29 23:10:00,CRYPTO:BTCUSD,27890.48,27937.75,27890.48,27930.28,0.0
2023-08-29 23:15:00,CRYPTO:BTCUSD,27930.28,27930.28,27859.34,27864.95,0.0
2023-08-29 23:20:00,CRYPTO:BTCUSD,27866.52,27867.25,27841.21,27859.25,0.0
2023-08-29 23:25:00,CRYPTO:BTCUSD,27858.03,27874.34,27847.21,27847.21,0.0
2023-08-29 23:30:00,CRYPTO:BTCUSD,27846.69,27876.65,27845.85,27854.86,0.0
2023-08-29 23:35:00,CRYPTO:BTCUSD,27854.51,27866.33,27847.0,27866.06,0.0
2023-08-29 23:40:00,CRYPTO:BTCUSD,27865.82,27871.57,27851.99,27871.57,0.0
2023-08-29 23:45:00,CRYPTO:BTCUSD,27871.57,27880.33,27865.04,27869.63,0.0
2023-08-29 23:50:00,CRYPTO:BTCUSD,27870.12,27874.22,27865.44,27870.07,0.0
2023-08-29 23:55:00,CRYPTO:BTCUSD,27869.85,27877.69,27858.05,27869.19,0.0
2023-08-30 00:00:00,CRYPTO:BTCUSD,27868.57,27869.33,27778.66,27780.26,0.0
2023-08-30 00:05:00,CRYPTO:BTCUSD,27779.84,27783.52,27703.96,27709.63,0.0
2023-08-30 00:10:00,CRYPTO:BTCUSD,27715.54,27742.73,27703.59,27732.03,0.0
2023-08-30 00:15:00,CRYPTO:BTCUSD,27730.66,27744.79,27692.98,27703.68,0.0
2023-08-30 00:20:00,CRYPTO:BTCUSD,27703.98,27703.98,27583.81,27585.84,0.0
2023-08-30 00:25:00,CRYPTO:BTCUSD,27587.96,27609.07,27575.23,27583.85,0.0
2023-08-30 00:30:00,CRYPTO:BTCUSD,27580.62,27644.68,27577.16,27602.85,0.0
2023-08-30 00:35:00,CRYPTO:BTCUSD,27602.59,27606.32,27602.59,27606.32,0.0
