datetime,symbol,open,high,low,close,volume
2023-09-01 20:30:00,FX:EURUSD,1.07839,1.0784,1.07819,1.07837,537.0
2023-09-01 20:35:00,FX:EURUSD,1.07837,1.07866,1.07834,1.07859,443.0
2023-09-01 20:40:00,FX:EURUSD,1.07859,1.0787,1.07854,1.07857,298.0
2023-09-01 20:45:00,FX:EURUSD,1.07857,1.07857,1.0784,1.07853,565.0
2023-09-01 20:50:00,FX:EURUSD,1.07853,1.07875,1.07853,1.07871,318.0
2023-09-01 20:55:00,FX:EURUSD,1.07871,1.07886,1.0787,1.07875,377.0
2023-09-01 21:00:00,FX:EURUSD,1.07875,1.0789,1.07872,1.07879,347.0
2023-09-01 21:05:00,FX:EURUSD,1.07879,1.07883,1.07872,1.07881,231.0
2023-09-01 21:10:00,FX:EURUSD,1.07881,1.07882,1.07869,1.0787,243.0
2023-09-01 21:15:00,FX:EURUSD,1.0787,1.07873,1.0785,1.07851,317.0
